prolific_id	round	cognitive_uncertainty	time_late	present_value
"5590a34cfdf99b729d4f69dc"	1	25	47	43.18182
"5590a34cfdf99b729d4f69dc"	2	35	84	58.69565
"5590a34cfdf99b729d4f69dc"	3	25	36	47.5
"5590a34cfdf99b729d4f69dc"	4	30	6	40.47619
"5590a34cfdf99b729d4f69dc"	5	30	84	36.95652
"5590a34cfdf99b729d4f69dc"	6	20	24	42.5
"5590a34cfdf99b729d4f69dc"	7	35	12	54.76191
"5590a34cfdf99b729d4f69dc"	8	25	12	45.23809
"5590a34cfdf99b729d4f69dc"	9	35	83	62.5
"5590a34cfdf99b729d4f69dc"	10	5	1	17.5
"5590a34cfdf99b729d4f69dc"	11	20	6	50
"5590a34cfdf99b729d4f69dc"	12	20	.25	29.54545
"5590a34cfdf99b729d4f69dc"	13	30	8	27.27273
"5590a34cfdf99b729d4f69dc"	14	25	4	27.27273
"5590a34cfdf99b729d4f69dc"	15	25	4	22.72727
"5590a34cfdf99b729d4f69dc"	16	5	.25	4.347826
"5590a34cfdf99b729d4f69dc"	17	10	.25	4.347826
"5590a34cfdf99b729d4f69dc"	18	10	2	18.51852
"5596a991fdf99b2d1e834690"	1	15	6	45.23809
"5596a991fdf99b2d1e834690"	2	0	23	18
"5596a991fdf99b2d1e834690"	3	10	8	38
"5596a991fdf99b2d1e834690"	4	10	6	21.42857
"5596a991fdf99b2d1e834690"	5	0	4	58
"5596a991fdf99b2d1e834690"	6	0	1	69.04762
"5596a991fdf99b2d1e834690"	7	15	6	45.23809
"5596a991fdf99b2d1e834690"	8	0	24	18
"5596a991fdf99b2d1e834690"	9	5	11	18
"5596a991fdf99b2d1e834690"	10	0	1	69.04762
"5596a991fdf99b2d1e834690"	11	0	4	58
"5596a991fdf99b2d1e834690"	12	10	12	45.23809
"5596a991fdf99b2d1e834690"	13	0	36	19.23077
"5596a991fdf99b2d1e834690"	14	0	8	39.47369
"5596a991fdf99b2d1e834690"	15	0	4	31.57895
"5596a991fdf99b2d1e834690"	16	0	1	50
"5596a991fdf99b2d1e834690"	17	0	4	31.57895
"5596a991fdf99b2d1e834690"	18	0	1	37.5
"55c4ea6dfdf99b4adb996618"	1	20	4	84.78261
"55c4ea6dfdf99b4adb996618"	2	20	4	80.43478
"55c4ea6dfdf99b4adb996618"	3	30	6	77.08333
"55c4ea6dfdf99b4adb996618"	4	5	.25	97.72727
"55c4ea6dfdf99b4adb996618"	5	5	.25	97.72727
"55c4ea6dfdf99b4adb996618"	6	15	4	89.13044
"55c4ea6dfdf99b4adb996618"	7	20	.25	85.41667
"55c4ea6dfdf99b4adb996618"	8	20	8	84.78261
"55c4ea6dfdf99b4adb996618"	9	20	2	88.09524
"55c4ea6dfdf99b4adb996618"	10	35	6	68.75
"55c4ea6dfdf99b4adb996618"	11	30	11	54.76191
"55c4ea6dfdf99b4adb996618"	12	30	12	77.08333
"55c4ea6dfdf99b4adb996618"	13	35	6	100
"55c4ea6dfdf99b4adb996618"	14	30	12	76.92308
"55c4ea6dfdf99b4adb996618"	15	30	48	65.21739
"55c4ea6dfdf99b4adb996618"	16	40	48	65.21739
"55c4ea6dfdf99b4adb996618"	17	20	24	89.28571
"55c4ea6dfdf99b4adb996618"	18	20	6	96.15385
